run_accession	sample_accession	collection_date	fastq_ftp	country
SRR12162235	SAMN15459280	2020-01-30	ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/035/SRR12162235/SRR12162235_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/035/SRR12162235/SRR12162235_2.fastq.gz	Australia: South Australia
SRR11494452	SAMN14546719	2020-03-20	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/052/SRR11494452/SRR11494452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/052/SRR11494452/SRR11494452_2.fastq.gz	Australia: Victoria
SRR11494453	SAMN14546718	2020-03-20	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/053/SRR11494453/SRR11494453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/053/SRR11494453/SRR11494453_2.fastq.gz	Australia: Victoria
SRR11494455	SAMN14546717	2020-03-09	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/055/SRR11494455/SRR11494455_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/055/SRR11494455/SRR11494455_2.fastq.gz	Australia: Victoria
SRR11494457	SAMN14546715	2020-03-20	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/057/SRR11494457/SRR11494457_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/057/SRR11494457/SRR11494457_2.fastq.gz	Australia: Victoria
SRR11494459	SAMN14546713	2020-03-19	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/059/SRR11494459/SRR11494459_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/059/SRR11494459/SRR11494459_2.fastq.gz	Australia: Victoria
SRR11494462	SAMN14546710	2020-03-19	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/062/SRR11494462/SRR11494462_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/062/SRR11494462/SRR11494462_2.fastq.gz	Australia: Victoria
SRR11494463	SAMN14546709	2020-03-19	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/063/SRR11494463/SRR11494463_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/063/SRR11494463/SRR11494463_2.fastq.gz	Australia: Victoria
SRR11494466	SAMN14546707	2020-03-19	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/066/SRR11494466/SRR11494466_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/066/SRR11494466/SRR11494466_2.fastq.gz	Australia: Victoria
SRR11494467	SAMN14546706	2020-03-08	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/067/SRR11494467/SRR11494467_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/067/SRR11494467/SRR11494467_2.fastq.gz	Australia: Victoria
SRR11494471	SAMN14546702	2020-03-19	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/071/SRR11494471/SRR11494471_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/071/SRR11494471/SRR11494471_2.fastq.gz	Australia: Victoria
SRR11494473	SAMN14546700	2020-03-19	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/073/SRR11494473/SRR11494473_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/073/SRR11494473/SRR11494473_2.fastq.gz	Australia: Victoria
